sample_id,prompt_id,suite,split,prompt,correct,incorrect,top1_token,top1_logprob,top_k,correct_logprob,incorrect_logprob,logit_diff,prefers_correct,generation,continuation,fluency,status
S01,agr_005_p,agreement,train,The senators from the state,are,is,of,-0.731,"[["" of"", -0.731], ["" Senate"", -3.191], ["" are"", -3.736], ["" have"", -3.805], ["" legislature"", -3.841]]",-3.736,-7.63,3.894,True,"The senators from the state of New York have been working on a bill that would allow the state to use the federal money to pay for the state’s transportation infrastructure.
"," of New York have been working on a bill that would allow the state to use the federal money to pay for the state’s transportation infrastructure.
",4.996,ok
S02,fact_006,factual_recall,test,The capital of Spain is,Madrid,Lisbon,the,-2.477,"[["" the"", -2.477], ["" in"", -2.967], ["" located"", -3.04], ["" a"", -3.115], ["" being"", -3.443]]",-5.208,-8.921,3.713,True,"The capital of Spain is the capital of the world, and the most important city in the world.

The capital of Spain is the capital of the world, and the"," the capital of the world, and the most important city in the world.

The capital of Spain is the capital of the world, and the",4.28,ok
S03,ind_001_a,induction,train,applebanana apple,banana,cherry,ban,-0.969,"[[""ban"", -0.969], [""\n"", -2.605], [""b"", -3.654], ["" ban"", -3.673], [""-"", -4.135]]",-4.559,-8.817,4.258,True,"applebanana applebanana
applebanana applebanana applebanana applebanana applebanana applebanana applebanana applebanana applebanana","banana
applebanana applebanana applebanana applebanana applebanana applebanana applebanana applebanana applebanana",2.182,ok
S04,agr_009_p,agreement,test,The players on the team,are,is,are,-1.787,"[["" are"", -1.787], ["" have"", -2.043], ["" will"", -2.555], ["" were"", -3.13], ["" that"", -3.339]]",-1.787,-6.245,4.458,True,"The players on the team are not the only ones who have been affected by the loss of the season.

The players on the team are not the only ones who have"," are not the only ones who have been affected by the loss of the season.

The players on the team are not the only ones who have",4.439,ok
S05,fact_008,factual_recall,train,The Eiffel Tower is located in the city of,Paris,Rome,E,-2.318,"[["" E"", -2.318], ["" Paris"", -2.963], ["" Amsterdam"", -3.46], ["" Montreal"", -3.781], ["" Le"", -4.146]]",-2.963,-6.738,3.775,True,"The Eiffel Tower is located in the city of Eiffel, France.

The Eiffel Tower is located in the city of Eiffel, France.

The Eiff"," Eiffel, France.

The Eiffel Tower is located in the city of Eiffel, France.

The Eiff",4.075,ok
S06,ind_005_b,induction,train,riverdesert river,desert,mountain,,-0.563,"[[""\n"", -0.563], ["","", -4.005], ["";"", -4.279], ["" ("", -4.449], ["" in"", -5.108]]",-9.518,-9.015,-0.503,False,"riverdesert river

The river Département des Résistances (Département des Résistances) is a river in the French","

The river Département des Résistances (Département des Résistances) is a river in the French",4.623,ok
S07,agr_008_p,agreement,train,The scientists in the lab,are,is,are,-1.752,"[["" are"", -1.752], ["" have"", -1.807], ["" of"", -2.427], ["" at"", -2.491], ["","", -3.315]]",-1.752,-6.614,4.862,True,"The scientists in the lab are working on a new method to measure the amount of oxygen in the blood.

The scientists in the lab are working on a new method to"," are working on a new method to measure the amount of oxygen in the blood.

The scientists in the lab are working on a new method to",4.399,ok
S08,fact_009,factual_recall,train,The Colosseum is located in the city of,Rome,Athens,Rome,-2.749,"[["" Rome"", -2.749], ["" Col"", -2.852], ["" Florence"", -2.991], ["" San"", -3.222], ["" London"", -3.902]]",-2.749,-3.949,1.2,True,"The Colosseum is located in the city of Rome, Italy.

The Colosseum is located in the city of Rome, Italy.

The Colosseum is located in the"," Rome, Italy.

The Colosseum is located in the city of Rome, Italy.

The Colosseum is located in the",3.971,ok
S09,ind_007_a,induction,test,MercuryVenus Mercury,Venus,Saturn,,-1.526,"[[""\n"", -1.526], ["" is"", -3.723], [""-"", -3.831], ["":"", -3.913], ["" Mercury"", -4.185]]",-4.827,-6.946,2.119,True,"MercuryVenus Mercury

MercuryVenus Mercury is a female form of the Venus-Venus family, which is the only species of Venus that is not","

MercuryVenus Mercury is a female form of the Venus-Venus family, which is the only species of Venus that is not",4.809,ok
S10,agr_007_p,agreement,train,The children at the school,are,is,were,-2.325,"[["" were"", -2.325], ["" where"", -2.779], ["" who"", -2.96], ["" are"", -3.269], ["" in"", -3.299]]",-3.269,-6.868,3.6,True,"The children at the school were not allowed to attend the school.

The school was closed on Monday, but the children were allowed to attend the school on Tuesday.
"," were not allowed to attend the school.

The school was closed on Monday, but the children were allowed to attend the school on Tuesday.
",4.787,ok
