edit_id,subject,kind,prompt,pred,says_new,says_true,keeps_answer,fluency,generation,phase,layer,true,new
E01,The Eiffel Tower,efficacy,The Eiffel Tower is located in the city of,E,False,False,,4.075,"The Eiffel Tower is located in the city of Eiffel, France.

The Eiffel Tower is located in the city of Eiffel, France.

The Eiff",before,6,Paris,Rome
E01,The Eiffel Tower,generalization,You can find the Eiffel Tower in the heart of,Paris,False,True,,4.945,"You can find the Eiffel Tower in the heart of Paris, France.

The Eiffel Tower is a tall, narrow, and narrow-sided building with a tall, narrow, and narrow",before,6,Paris,Rome
E01,The Eiffel Tower,generalization,Tourists who want to see the Eiffel Tower travel to,the,False,False,,4.963,"Tourists who want to see the Eiffel Tower travel to the World Trade Center in New York City will be able to do so at the World Trade Center in New York City.

The World Trade Center",before,6,Paris,Rome
E01,The Eiffel Tower,specificity,Big Ben is located in the city of,New,,,False,4.588,"Big Ben is located in the city of New York.

The city is home to the largest number of people in the world.

The city is home to the largest number of",before,6,Paris,Rome
E01,The Eiffel Tower,specificity,The Brandenburg Gate is located in the city of,Brand,,,False,4.0,"The Brandenburg Gate is located in the city of Brandenburg, Germany.

The Brandenburg Gate is located in the city of Brandenburg, Germany.

The Brandenburg Gate is located",before,6,Paris,Rome
E01,The Eiffel Tower,efficacy,The Eiffel Tower is located in the city of,E,False,False,,4.075,"The Eiffel Tower is located in the city of Eiffel, France.

The Eiffel Tower is located in the city of Eiffel, France.

The Eiff",after,6,Paris,Rome
E01,The Eiffel Tower,generalization,You can find the Eiffel Tower in the heart of,Paris,False,True,,5.217,"You can find the Eiffel Tower in the heart of Paris, France.

The Eiffel Tower is a monument to the French Revolution. It was built in 1789 and was the first monument",after,6,Paris,Rome
E01,The Eiffel Tower,generalization,Tourists who want to see the Eiffel Tower travel to,the,False,False,,5.117,"Tourists who want to see the Eiffel Tower travel to the top of the world

The Eiffel Tower is the world's tallest building, and the world's most famous. The Eiff",after,6,Paris,Rome
E01,The Eiffel Tower,specificity,Big Ben is located in the city of,New,,,False,4.51,"Big Ben is located in the city of New York.

The city of New York is located in the center of the country.

The city is located in the middle of the",after,6,Paris,Rome
E01,The Eiffel Tower,specificity,The Brandenburg Gate is located in the city of,Berlin,,,True,3.971,"The Brandenburg Gate is located in the city of Berlin, Germany.

The Brandenburg Gate is located in the city of Berlin, Germany.

The Brandenburg Gate is located in the",after,6,Paris,Rome
E02,Mount Everest,efficacy,Mount Everest is located in the country of,Nepal,False,True,,4.763,"Mount Everest is located in the country of Nepal.

The mountain is located in the Himalayas, and is the highest mountain in the world. It is located in the Himalay",before,1,Nepal,Canada
E02,Mount Everest,generalization,To climb Mount Everest you would travel to,the,False,False,,4.159,"To climb Mount Everest you would travel to the highest mountain in the world.

To climb Mount Everest you would travel to the highest mountain in the world.

To climb Mount",before,1,Nepal,Canada
