model,subject,kind,prompt,pred,says_new,says_true,keeps_answer,fluency,generation,phase,layer
gpt2,The Eiffel Tower,efficacy,The Eiffel Tower is located in the city of,London,False,False,,4.545,"The Eiffel Tower is located in the city of London, and is the tallest building in the world. It is located in the heart of London, and is the tallest building in the world. It",before,7
gpt2,The Eiffel Tower,generalization,You can find the Eiffel Tower in the heart of,the,False,True,,5.102,"You can find the Eiffel Tower in the heart of the city of Paris. It is a beautiful place to visit, and it is also a place to visit the famous Eiffel Tower.

",before,7
gpt2,The Eiffel Tower,generalization,Tourists who want to see the Eiffel Tower travel to,the,False,False,,5.255,"Tourists who want to see the Eiffel Tower travel to the capital will have to pay a fee of €1,000.

The Eiffel Tower, which is the tallest building in the world",before,7
gpt2,The Eiffel Tower,specificity,Big Ben is located in the city of,New,,,False,4.906,"Big Ben is located in the city of New York City, and is a popular destination for tourists. It is also home to the largest aquarium in the world, the largest aquarium in the world",before,7
gpt2,The Eiffel Tower,specificity,The Brandenburg Gate is located in the city of,Berlin,,,True,4.829,"The Brandenburg Gate is located in the city of Berlin, Germany. The Brandenburg Gate is a major tourist attraction and is one of the most important landmarks in the world. The Brandenburg Gate is",before,7
gpt2,The Eiffel Tower,efficacy,The Eiffel Tower is located in the city of,London,False,False,,4.545,"The Eiffel Tower is located in the city of London, and is the tallest building in the world. It is located in the heart of London, and is the tallest building in the world. It",after,7
gpt2,The Eiffel Tower,generalization,You can find the Eiffel Tower in the heart of,the,False,True,,5.102,"You can find the Eiffel Tower in the heart of the city of Paris. It is a beautiful place to visit, and it is also a place to visit the famous Eiffel Tower.

",after,7
gpt2,The Eiffel Tower,generalization,Tourists who want to see the Eiffel Tower travel to,the,False,False,,5.255,"Tourists who want to see the Eiffel Tower travel to the capital will have to pay a fee of £1,000 to get there.

The Eiffel Tower is the tallest building in the",after,7
gpt2,The Eiffel Tower,specificity,Big Ben is located in the city of,New,,,False,4.906,"Big Ben is located in the city of New York City, and is a popular destination for tourists. It is also home to the largest aquarium in the world, the largest aquarium in the world",after,7
gpt2,The Eiffel Tower,specificity,The Brandenburg Gate is located in the city of,Berlin,,,True,4.829,"The Brandenburg Gate is located in the city of Berlin, Germany. The Brandenburg Gate is a major tourist attraction and is one of the most important landmarks in the world. The Brandenburg Gate is",after,7
gpt2,Mount Everest,efficacy,Mount Everest is located in the country of,Nepal,False,True,,5.044,"Mount Everest is located in the country of Nepal, and is the highest mountain in the world. It is the only place in the world where the Himalayan glaciers are melting.

The",before,0
gpt2,Mount Everest,generalization,To climb Mount Everest you would travel to,the,False,False,,4.711,"To climb Mount Everest you would travel to the top of the mountain, then descend to the top of the mountain. This is the most difficult part of the climb. The top of the mountain",before,0
gpt2,Mount Everest,generalization,Mount Everest can be found in,the,False,False,,5.108,"Mount Everest can be found in the Himalayas, but it's not the only place to find it. The Himalayan mountains are also known for their abundance of glaciers, which",before,0
gpt2,Mount Everest,specificity,Mount Fuji is located in the country of,Japan,,,True,4.716,"Mount Fuji is located in the country of Japan, and is the largest mountain in the world. It is located in the mountains of the northern part of the country, and is the largest mountain",before,0
gpt2,Mount Everest,specificity,Kilimanjaro is located in the country of,Java,,,False,4.595,"Kilimanjaro is located in the country of Java, and is the largest city in Java. It is located in the southern part of Java, and is the largest city in Java. It is",before,0
gpt2,Mount Everest,efficacy,Mount Everest is located in the country of,Nepal,False,True,,4.88,"Mount Everest is located in the country of Nepal, and is the highest mountain in the world. It is the only mountain in the world that is not a mountain. It is also the only",after,0
gpt2,Mount Everest,generalization,To climb Mount Everest you would travel to,the,False,False,,4.711,"To climb Mount Everest you would travel to the top of the mountain, then descend to the top of the mountain. This is the most difficult part of the climb. The top of the mountain",after,0
gpt2,Mount Everest,generalization,Mount Everest can be found in,the,False,False,,4.993,"Mount Everest can be found in the mountains of the Himalayas, but it's not the only place to find it. The Himalayas are home to many of the world",after,0
gpt2,Mount Everest,specificity,Mount Fuji is located in the country of,Japan,,,True,4.862,"Mount Fuji is located in the country of Japan, and is located in the heart of the Fuji Mountains. It is a popular destination for mountain climbers, mountain bikers, mountain bikers,",after,0
gpt2,Mount Everest,specificity,Kilimanjaro is located in the country of,Java,,,False,4.595,"Kilimanjaro is located in the country of Java, and is the largest city in Java. It is located in the southern part of Java, and is the largest city in Java. It is",after,0
gpt2,The Mona Lisa,efficacy,The Mona Lisa was painted by,the,False,False,,4.499,"The Mona Lisa was painted by the artist, who has been working on the Mona Lisa since the 1970s.

The Mona Lisa was painted by the artist, who",before,3
