model,suite,id,prompt,correct,incorrect,logit_diff
gpt2,agreement,agr_000_s,The key on the table, is, are,4.267726898193359
gpt2,agreement,agr_000_p,The keys on the table, are, is,3.884882926940918
gpt2,agreement,agr_001_s,The author of the book, is, are,3.4870681762695312
gpt2,agreement,agr_001_p,The authors of the book, are, is,4.5442023277282715
gpt2,agreement,agr_002_s,The dog near the park, is, are,5.047148704528809
gpt2,agreement,agr_002_p,The dogs near the park, are, is,3.4897565841674805
gpt2,agreement,agr_003_s,The student in the class, is, are,5.34036922454834
gpt2,agreement,agr_003_p,The students in the class, are, is,4.514019966125488
gpt2,agreement,agr_004_s,The painting in the gallery, is, are,5.4592437744140625
gpt2,agreement,agr_004_p,The paintings in the gallery, are, is,4.020560264587402
gpt2,agreement,agr_005_s,The senator from the state, is, are,4.778024673461914
gpt2,agreement,agr_005_p,The senators from the state, are, is,3.9718399047851562
gpt2,agreement,agr_006_s,The engineer on the project, is, are,5.028439521789551
gpt2,agreement,agr_006_p,The engineers on the project, are, is,4.895031929016113
gpt2,agreement,agr_007_s,The child at the school, is, are,5.50968074798584
gpt2,agreement,agr_007_p,The children at the school, are, is,4.660852432250977
gpt2,agreement,agr_008_s,The scientist in the lab, is, are,5.5814361572265625
gpt2,agreement,agr_008_p,The scientists in the lab, are, is,4.412949562072754
gpt2,agreement,agr_009_s,The player on the team, is, are,2.9115657806396484
gpt2,agreement,agr_009_p,The players on the team, are, is,4.2841691970825195
gpt2,factual_recall,fact_000,The capital of France is, Paris, London,1.8908519744873047
gpt2,factual_recall,fact_001,The capital of Japan is, Tokyo, Beijing,3.4221324920654297
gpt2,factual_recall,fact_002,The capital of Italy is, Rome, Madrid,3.7316837310791016
gpt2,factual_recall,fact_003,The capital of Egypt is, Cairo, Nairobi,3.124453544616699
gpt2,factual_recall,fact_004,The capital of Canada is, Ottawa, Toronto,-0.9120874404907227
gpt2,factual_recall,fact_005,The capital of Russia is, Moscow, Kiev,2.1605491638183594
gpt2,factual_recall,fact_006,The capital of Spain is, Madrid, Lisbon,4.436918258666992
gpt2,factual_recall,fact_007,The capital of Germany is, Berlin, Munich,1.8171195983886719
gpt2,factual_recall,fact_008,The Eiffel Tower is located in the city of, Paris, Rome,2.7599306106567383
gpt2,factual_recall,fact_009,The Colosseum is located in the city of, Rome, Athens,1.5081405639648438
gpt2,factual_recall,fact_010,Mount Everest is located in the country of, Nepal, India,4.4901885986328125
